Year,Strata,Strata Name,County,Total Admits (ICD-9),30-day Readmits (ICD-9) ,30-day Readmission Rate (ICD-9),Total Admits (ICD-10),30-day Readmits (ICD-10) ,30-day Readmission Rate (ICD-10)
2017,Race-Ethnicity,Hispanic,State,,,,442597,65083,14.70%
2017,Race-Ethnicity,Native American,State,,,,6269,1027,16.38%
2017,Race-Ethnicity,Other/Unknown,State,,,,78602,10982,13.97%
2017,Race-Ethnicity,White,State,,,,1021384,142762,13.98%
2017,Expected Payer,Medi-Cal,State,,,,391220,61700,15.77%
2017,Expected Payer,MediCare,State,,,,1037090,164931,15.90%
2017,Expected Payer,Other,State,,,,42158,4514,10.71%
2017,Expected Payer,Private,State,,,,392007,42024,10.72%
2017,Expected Payer,Self-Pay,State,,,,20495,1751,8.54%
2017,Overall,Overall,Alameda,,,,64950,9676,14.90%
2017,Overall,Overall,Alpine,,,,9,,
2017,Overall,Overall,Amador,,,,2970,405,13.64%
2017,Overall,Overall,Butte,,,,23283,4406,18.92%
2017,Overall,Overall,Calaveras,,,,2997,399,13.31%
2017,Overall,Overall,Colusa,,,,988,124,12.55%
2017,Overall,Overall,Contra Costa,,,,53095,8016,15.10%
2017,Overall,Overall,Del Norte,,,,1390,161,11.58%
2017,Overall,Overall,El Dorado,,,,10457,1457,13.93%
2017,Overall,Overall,Fresno,,,,49058,7239,14.76%
2017,Overall,Overall,Glenn,,,,1957,290,14.82%
2017,Overall,Overall,Humboldt,,,,7593,919,12.10%
2017,Overall,Overall,Imperial,,,,8276,1240,14.98%
2017,Overall,Overall,Inyo,,,,838,79,9.43%
2017,Overall,Overall,Kern,,,,41270,5728,13.88%
2017,Overall,Overall,Kings,,,,6417,945,14.73%
2017,Overall,Overall,Lake,,,,5354,853,15.93%
2017,Overall,Overall,Lassen,,,,831,69,8.30%
2017,Overall,Overall,Los Angeles,,,,481784,75361,15.64%
2017,Overall,Overall,Madera,,,,6784,931,13.72%
2017,Overall,Overall,Marin,,,,11379,1412,12.41%
2017,Overall,Overall,Mariposa,,,,1184,167,14.10%
2017,Overall,Overall,Mendocino,,,,5348,681,12.73%
2017,Overall,Overall,Merced,,,,14017,2182,15.57%
2017,Overall,Overall,Modoc,,,,349,42,12.03%
2017,Overall,Overall,Mono,,,,280,22,7.86%
2017,Overall,Overall,Monterey,,,,18362,2179,11.87%
2017,Overall,Overall,Napa,,,,7243,1000,13.81%
2017,Overall,Overall,Nevada,,,,5666,778,13.73%
2017,Overall,Overall,Orange,,,,132179,17820,13.48%
2017,Overall,Overall,Placer,,,,19073,2178,11.42%
2017,Overall,Overall,Plumas,,,,840,97,11.55%
2017,Overall,Overall,Riverside,,,,111614,16334,14.63%
2017,Overall,Overall,Sacramento,,,,80190,12074,15.06%
2017,Overall,Overall,San Benito,,,,2464,320,12.99%
2017,Overall,Overall,San Bernardino,,,,104537,15991,15.30%
2017,Overall,Overall,San Diego,,,,151905,20823,13.71%
2017,Overall,Overall,San Francisco,,,,36376,5449,14.98%
2017,Overall,Overall,San Joaquin,,,,37377,5636,15.08%
2017,Overall,Overall,San Luis Obispo,,,,13019,1469,11.28%
2017,Overall,Overall,San Mateo,,,,26998,3435,12.72%
2017,Overall,Overall,Santa Barbara,,,,19072,2351,12.33%
2017,Overall,Overall,Santa Clara,,,,70038,10082,14.40%
2017,Overall,Overall,Santa Cruz,,,,10702,1323,12.36%
2017,Overall,Overall,Shasta,,,,14022,1647,11.75%
2017,Overall,Overall,Sierra,,,,96,7,7.29%
2017,Overall,Overall,Siskiyou,,,,2122,193,9.10%
2017,Overall,Overall,Solano,,,,20236,2951,14.58%
2017,Overall,Overall,Sonoma,,,,23479,3024,12.88%
2017,Overall,Overall,Stanislaus,,,,30327,4137,13.64%
2017,Overall,Overall,Sutter,,,,5639,734,13.02%
2017,Overall,Overall,Tehama,,,,3474,485,13.96%
2017,Overall,Overall,Trinity,,,,869,115,13.23%
2017,Overall,Overall,Tulare,,,,22274,3157,14.17%
2017,Overall,Overall,Tuolumne,,,,3730,493,13.22%
2017,Overall,Overall,Ventura,,,,39966,5535,13.85%
2017,Overall,Overall,Yolo,,,,8171,1134,13.88%
2017,Overall,Overall,Yuba,,,,4909,758,15.44%
2018,Overall,Overall,State,,,,1867521,275515,14.75%
2018,Age,18 to 44 years,State,,,,281989,35161,12.47%
2018,Age,45 to 64 years,State,,,,595858,89815,15.07%
2018,Age,65 years and above,State,,,,989674,150539,15.21%
2018,Sex,Female,State,,,,948082,131904,13.91%
2018,Sex,Male,State,,,,919439,143611,15.62%
2018,Race-Ethnicity,African-American,State,,,,178356,33262,18.65%
2018,Race-Ethnicity,Asian/Pacific Islander,State,,,,158478,22622,14.27%
2018,Race-Ethnicity,Hispanic,State,,,,449680,66002,14.68%
2018,Race-Ethnicity,Native American,State,,,,6639,1146,17.26%
2018,Race-Ethnicity,Other/Unknown,State,,,,80394,11349,14.12%
2018,Race-Ethnicity,White,State,,,,993974,141134,14.20%
2018,Expected Payer,Medi-Cal,State,,,,389464,61814,15.87%
2018,Expected Payer,MediCare,State,,,,1030609,165581,16.07%
2018,Expected Payer,Other,State,,,,42786,4451,10.40%
2018,Expected Payer,Private,State,,,,382592,41772,10.92%
2018,Expected Payer,Self-Pay,State,,,,22070,1897,8.60%
2018,Overall,Overall,Alameda,,,,62646,9882,15.77%
2018,Overall,Overall,Alpine,,,,18,2,11.11%
2018,Overall,Overall,Amador,,,,2877,458,15.92%
2018,Overall,Overall,Butte,,,,23190,4151,17.90%
2018,Overall,Overall,Calaveras,,,,2941,411,13.97%
2018,Overall,Overall,Colusa,,,,1195,185,15.48%
2018,Overall,Overall,Contra Costa,,,,51183,7884,15.40%
2018,Overall,Overall,Del Norte,,,,1416,178,12.57%
2018,Overall,Overall,El Dorado,,,,10371,1434,13.83%
2018,Overall,Overall,Fresno,,,,48893,7348,15.03%
2018,Overall,Overall,Glenn,,,,2126,314,14.77%
2018,Overall,Overall,Humboldt,,,,7449,957,12.85%
2018,Overall,Overall,Imperial,,,,8453,1205,14.26%
2018,Overall,Overall,Inyo,,,,852,79,9.27%
2018,Overall,Overall,Kern,,,,39488,5471,13.85%
2018,Overall,Overall,Kings,,,,6010,879,14.63%
2018,Overall,Overall,Lake,,,,5227,813,15.55%
2018,Overall,Overall,Lassen,,,,798,72,9.02%
2018,Overall,Overall,Los Angeles,,,,475044,74910,15.77%
2018,Overall,Overall,Madera,,,,7023,999,14.22%
2018,Overall,Overall,Marin,,,,10779,1365,12.66%
2018,Overall,Overall,Mariposa,,,,1069,139,13.00%
2018,Overall,Overall,Mendocino,,,,5400,795,14.72%
2018,Overall,Overall,Merced,,,,14124,2236,15.83%
2018,Overall,Overall,Modoc,,,,300,37,12.33%
2018,Overall,Overall,Mono,,,,296,31,10.47%
2018,Overall,Overall,Monterey,,,,19247,2399,12.46%
2018,Overall,Overall,Napa,,,,6819,1059,15.53%
2018,Overall,Overall,Nevada,,,,5779,799,13.83%
2018,Overall,Overall,Orange,,,,130341,17385,13.34%
2018,Overall,Overall,Placer,,,,18737,2199,11.74%
2018,Overall,Overall,Plumas,,,,970,125,12.89%
2018,Overall,Overall,Riverside,,,,112715,16709,14.82%
2018,Overall,Overall,Sacramento,,,,77626,11686,15.05%
2018,Overall,Overall,San Benito,,,,2487,349,14.03%
2018,Overall,Overall,San Bernardino,,,,104972,15905,15.15%
2018,Overall,Overall,San Diego,,,,153864,21665,14.08%
2018,Overall,Overall,San Francisco,,,,34999,5032,14.38%
2018,Overall,Overall,San Joaquin,,,,36982,5533,14.96%
2018,Overall,Overall,San Luis Obispo,,,,12990,1587,12.22%
2018,Overall,Overall,San Mateo,,,,25690,3319,12.92%
2018,Overall,Overall,Santa Barbara,,,,18914,2242,11.85%
2018,Overall,Overall,Santa Clara,,,,65621,9447,14.40%
2018,Overall,Overall,Santa Cruz,,,,9985,1159,11.61%
2018,Overall,Overall,Shasta,,,,13815,1750,12.67%
2018,Overall,Overall,Sierra,,,,103,10,9.71%
2018,Overall,Overall,Siskiyou,,,,1952,201,10.30%
2018,Overall,Overall,Solano,,,,19873,3011,15.15%
2018,Overall,Overall,Sonoma,,,,22588,3036,13.44%
2018,Overall,Overall,Stanislaus,,,,30021,3980,13.26%
2018,Overall,Overall,Sutter,,,,5966,774,12.97%
2018,Overall,Overall,Tehama,,,,3848,581,15.10%
2018,Overall,Overall,Trinity,,,,845,107,12.66%
2018,Overall,Overall,Tulare,,,,20948,2781,13.28%
2018,Overall,Overall,Tuolumne,,,,3495,420,12.02%
2018,Overall,Overall,Ventura,,,,39246,5691,14.50%
2018,Overall,Overall,Yolo,,,,7761,1032,13.30%
2018,Overall,Overall,Yuba,,,,5056,737,14.58%
2019,Overall,Overall,State,,,,1866911,277886,14.88%
2019,Age,18 to 44 years,State,,,,281814,35346,12.54%
2019,Age,45 to 64 years,State,,,,587775,89400,15.21%
2019,Age,65 years and above,State,,,,997322,153140,15.36%
2019,Sex,Female,State,,,,942816,131796,13.98%
2019,Sex,Male,State,,,,924095,146090,15.81%
2019,Race-Ethnicity,African-American,State,,,,174725,32319,18.50%
2019,Race-Ethnicity,Asian/Pacific Islander,State,,,,160310,22926,14.30%
2019,Race-Ethnicity,Hispanic,State,,,,459080,68439,14.91%
2019,Race-Ethnicity,Multiracial,State,,,,15870,2941,18.53%
2019,Race-Ethnicity,Native American,State,,,,9212,1331,14.45%
2019,Race-Ethnicity,Other/Unknown,State,,,,79096,10967,13.87%
2019,Race-Ethnicity,White,State,,,,968618,138963,14.35%
2019,Expected Payer,Medi-Cal,State,,,,390274,62869,16.11%
2019,Expected Payer,MediCare,State,,,,1040179,168152,16.17%
2019,Expected Payer,Other,State,,,,45174,5107,11.31%
2019,Expected Payer,Private,State,,,,367681,39787,10.82%
2019,Expected Payer,Self-Pay,State,,,,23603,1971,8.35%
2019,Overall,Overall,Unknown County,,,,374,59,15.78%
2019,Overall,Overall,Alameda,,,,62440,9756,15.62%
2019,Overall,Overall,Alpine,,,,10,0,0.00%
2019,Overall,Overall,Amador,,,,2894,392,13.55%
2019,Overall,Overall,Butte,,,,21958,3973,18.09%
2019,Overall,Overall,Calaveras,,,,3051,467,15.31%
2019,Overall,Overall,Colusa,,,,1196,170,14.21%
2019,Overall,Overall,Contra Costa,,,,50840,7765,15.27%
2019,Overall,Overall,Del Norte,,,,1463,170,11.62%
2019,Overall,Overall,El Dorado,,,,10281,1439,14.00%
2019,Overall,Overall,Fresno,,,,48532,7442,15.33%
2019,Overall,Overall,Glenn,,,,2264,350,15.46%
2019,Overall,Overall,Humboldt,,,,7263,947,13.04%
2019,Overall,Overall,Imperial,,,,8295,1253,15.11%
2019,Overall,Overall,Inyo,,,,958,99,10.33%
2019,Overall,Overall,Kern,,,,40793,5885,14.43%
2019,Overall,Overall,Kings,,,,6360,937,14.73%
2019,Overall,Overall,Lake,,,,5108,822,16.09%
2019,Overall,Overall,Lassen,,,,774,76,9.82%
2019,Overall,Overall,Los Angeles,,,,465091,73376,15.78%
2019,Overall,Overall,Madera,,,,6743,865,12.83%
2019,Overall,Overall,Marin,,,,10086,1222,12.12%
2019,Overall,Overall,Mariposa,,,,1115,124,11.12%
2019,Overall,Overall,Mendocino,,,,5228,708,13.54%
2019,Overall,Overall,Merced,,,,13468,2112,15.68%
2019,Overall,Overall,Modoc,,,,372,50,13.44%
2019,Overall,Overall,Mono,,,,333,33,9.91%
2019,Overall,Overall,Monterey,,,,19847,2651,13.36%
2019,Overall,Overall,Napa,,,,6551,1049,16.01%
2019,Overall,Overall,Nevada,,,,5684,760,13.37%
2019,Overall,Overall,Orange,,,,127580,17412,13.65%
2019,Overall,Overall,Placer,,,,18957,2282,12.04%
2019,Overall,Overall,Plumas,,,,851,100,11.75%
2019,Overall,Overall,Riverside,,,,114978,17036,14.82%
2019,Overall,Overall,Sacramento,,,,75730,11297,14.92%
2019,Overall,Overall,San Benito,,,,2276,305,13.40%
2019,Overall,Overall,San Bernardino,,,,104217,16022,15.37%
2019,Overall,Overall,San Diego,,,,155859,21752,13.96%
2019,Overall,Overall,San Francisco,,,,34983,5090,14.55%
2019,Overall,Overall,San Joaquin,,,,37222,5817,15.63%
2019,Overall,Overall,San Luis Obispo,,,,12891,1622,12.58%
2019,Overall,Overall,San Mateo,,,,25264,3279,12.98%
2019,Overall,Overall,Santa Barbara,,,,19432,2249,11.57%
2019,Overall,Overall,Santa Clara,,,,64589,9259,14.34%
2019,Overall,Overall,Santa Cruz,,,,10316,1283,12.44%
2019,Overall,Overall,Shasta,,,,13651,1715,12.56%
2019,Overall,Overall,Sierra,,,,116,12,10.34%
2019,Overall,Overall,Siskiyou,,,,2009,201,10.00%
2019,Overall,Overall,Solano,,,,20472,3144,15.36%
2019,Overall,Overall,Sonoma,,,,22767,3150,13.84%
2019,Overall,Overall,Stanislaus,,,,30499,4321,14.17%
2019,Overall,Overall,Sutter,,,,5740,789,13.75%
2019,Overall,Overall,Tehama,,,,3895,578,14.84%
2019,Overall,Overall,Trinity,,,,784,86,10.97%
2019,Overall,Overall,Tulare,,,,22009,3112,14.14%
2019,Overall,Overall,Tuolumne,,,,3581,484,13.52%
2019,Overall,Overall,Ventura,,,,40324,6006,14.89%
2019,Overall,Overall,Yolo,,,,7958,1129,14.19%
2019,Overall,Overall,Yuba,,,,5078,789,15.54%
2020,Overall,Overall,State,,,,1623952,235905,14.53%
2020,Age,18 to 44 years,State,,,,256350,30887,12.05%
2020,Age,45 to 64 years,State,,,,515144,76269,14.81%
2020,Age,65 years and above,State,,,,852458,128749,15.10%
2020,Sex,Female,State,,,,795504,110363,13.87%
2020,Sex,Male,State,,,,828448,125542,15.15%
2020,Race-Ethnicity,African-American,State,,,,150491,27072,17.99%
2020,Race-Ethnicity,Asian/Pacific Islander,State,,,,136051,19173,14.09%
2020,Race-Ethnicity,Hispanic,State,,,,426687,60377,14.15%
2020,Race-Ethnicity,Multiracial,State,,,,20462,3524,17.22%
2020,Race-Ethnicity,Native American,State,,,,5542,849,15.32%
2020,Race-Ethnicity,Other/Unknown,State,,,,74035,9871,13.33%
2020,Race-Ethnicity,White,State,,,,810684,115039,14.19%
2020,Expected Payer,Medi-Cal,State,,,,355605,54947,15.45%
2020,Expected Payer,MediCare,State,,,,886758,141143,15.92%
2020,Expected Payer,Other,State,,,,38983,4157,10.66%
2020,Expected Payer,Private,State,,,,323226,34163,10.57%
2020,Expected Payer,Self-Pay,State,,,,19380,1495,7.71%
2020,Overall,Overall,Alameda,,,,54864,8381,15.28%
2020,Overall,Overall,Alpine,,,,7,2,28.57%
2020,Overall,Overall,Amador,,,,2484,353,14.21%
2020,Overall,Overall,Butte,,,,19635,3585,18.26%
2020,Overall,Overall,Calaveras,,,,2648,358,13.52%
2020,Overall,Overall,Colusa,,,,998,137,13.73%
2020,Overall,Overall,Contra Costa,,,,44201,6583,14.89%
2020,Overall,Overall,Del Norte,,,,1174,112,9.54%
2020,Overall,Overall,El Dorado,,,,9180,1332,14.51%
2020,Overall,Overall,Fresno,,,,44932,6844,15.23%
2020,Overall,Overall,Glenn,,,,1983,288,14.52%
2020,Overall,Overall,Humboldt,,,,5984,738,12.33%
2020,Overall,Overall,Imperial,,,,7229,1015,14.04%
2020,Overall,Overall,Inyo,,,,855,91,10.64%
2020,Overall,Overall,Kern,,,,36595,4963,13.56%
2020,Overall,Overall,Kings,,,,5721,835,14.60%
2020,Overall,Overall,Lake,,,,4191,618,14.75%
2020,Overall,Overall,Lassen,,,,614,59,9.61%
2020,Overall,Overall,Los Angeles,,,,391234,59374,15.18%
2020,Overall,Overall,Madera,,,,5855,797,13.61%
2020,Overall,Overall,Marin,,,,8660,1092,12.61%
2020,Overall,Overall,Mariposa,,,,1007,128,12.71%
2020,Overall,Overall,Mendocino,,,,4856,673,13.86%
2020,Overall,Overall,Merced,,,,11523,1752,15.20%
2020,Overall,Overall,Modoc,,,,338,45,13.31%
2020,Overall,Overall,Mono,,,,274,30,10.95%
2020,Overall,Overall,Monterey,,,,17352,2283,13.16%
2020,Overall,Overall,Napa,,,,5168,747,14.45%
2020,Overall,Overall,Nevada,,,,5158,682,13.22%
2020,Overall,Overall,Orange,,,,109124,14464,13.25%
2020,Overall,Overall,Placer,,,,17443,2120,12.15%
2020,Overall,Overall,Plumas,,,,681,80,11.75%
2020,Overall,Overall,Riverside,,,,101235,14085,13.91%
2020,Overall,Overall,Sacramento,,,,69182,10274,14.85%
2020,Overall,Overall,San Benito,,,,2082,291,13.98%
2020,Overall,Overall,San Bernardino,,,,91071,12977,14.25%
2020,Overall,Overall,San Diego,,,,137277,19112,13.92%
2020,Overall,Overall,San Francisco,,,,31482,4799,15.24%
2020,Overall,Overall,San Joaquin,,,,32822,4992,15.21%
2020,Overall,Overall,San Luis Obispo,,,,11003,1398,12.71%
2020,Overall,Overall,San Mateo,,,,21940,2851,12.99%
2020,Overall,Overall,Santa Barbara,,,,17361,2026,11.67%
2020,Overall,Overall,Santa Clara,,,,56393,8118,14.40%
2020,Overall,Overall,Santa Cruz,,,,9178,1151,12.54%
2020,Overall,Overall,Shasta,,,,12277,1591,12.96%
2020,Overall,Overall,Sierra,,,,95,11,11.58%
2020,Overall,Overall,Siskiyou,,,,1791,186,10.39%
2020,Overall,Overall,Solano,,,,17619,2598,14.75%
2020,Overall,Overall,Sonoma,,,,19924,2664,13.37%
2020,Overall,Overall,Stanislaus,,,,27464,3868,14.08%
2020,Overall,Overall,Sutter,,,,5415,776,14.33%
2020,Overall,Overall,Tehama,,,,3505,445,12.70%
2020,Overall,Overall,Trinity,,,,693,85,12.27%
2020,Overall,Overall,Tulare,,,,18786,2653,14.12%
2020,Overall,Overall,Tuolumne,,,,3304,474,14.35%
2020,Overall,Overall,Ventura,,,,34820,4945,14.20%
2020,Overall,Overall,Yolo,,,,6945,976,14.05%
2020,Overall,Overall,Yuba,,,,4513,712,15.78%
2021,Overall,Overall,State,,,,1678810,242095,14.42%
2021,Age,18 to 44 years,State,,,,275100,32693,11.88%
2021,Age,45 to 64 years,State,,,,522104,76660,14.68%
2021,Age,65 years and above,State,,,,881606,132742,15.06%
2021,Expected Payer,Medi-Cal,State,,,,378689,57840,15.27%
2021,Expected Payer,MediCare,State,,,,900016,142496,15.83%
2021,Expected Payer,Other,State,,,,42519,4501,10.59%
2021,Expected Payer,Private,State,,,,339306,35739,10.53%
2021,Expected Payer,Self-Pay,State,,,,18280,1519,8.31%
2021,Race-Ethnicity,African-American,State,,,,161819,28772,17.78%
2021,Race-Ethnicity,Asian/Pacific Islander,State,,,,145744,20519,14.08%
2021,Race-Ethnicity,Hispanic,State,,,,449127,62692,13.96%
2021,Race-Ethnicity,Multiracial,State,,,,18614,3196,17.17%
2021,Race-Ethnicity,Native American,State,,,,5839,925,15.84%
2021,Race-Ethnicity,Other/Unknown,State,,,,75378,10114,13.42%
2021,Race-Ethnicity,White,State,,,,822289,115877,14.09%
2021,Sex,Female,State,,,,824580,113903,13.81%
2021,Sex,Male,State,,,,854230,128192,15.01%
2021,Overall,Overall,Alameda,,,,57303,9116,15.91%
2021,Overall,Overall,Alpine,,,,18,1,5.56%
2021,Overall,Overall,Amador,,,,2526,337,13.34%
2021,Overall,Overall,Butte,,,,19671,3643,18.52%
2021,Overall,Overall,Calaveras,,,,2531,339,13.39%
2021,Overall,Overall,Colusa,,,,1097,156,14.22%
2021,Overall,Overall,Contra Costa,,,,47076,7126,15.14%
2021,Overall,Overall,Del Norte,,,,1197,154,12.87%
2021,Overall,Overall,El Dorado,,,,9451,1341,14.19%
2021,Overall,Overall,Fresno,,,,47105,7060,14.99%
2021,Overall,Overall,Glenn,,,,2020,278,13.76%
2021,Overall,Overall,Humboldt,,,,5977,750,12.55%
2021,Overall,Overall,Imperial,,,,6840,895,13.08%
2021,Overall,Overall,Inyo,,,,649,63,9.71%
2021,Overall,Overall,Kern,,,,38249,5070,13.26%
2021,Overall,Overall,Kings,,,,5759,779,13.53%
2021,Overall,Overall,Lake,,,,4313,646,14.98%
2021,Overall,Overall,Lassen,,,,658,49,7.45%
2021,Overall,Overall,Los Angeles,,,,403988,60634,15.01%
2021,Overall,Overall,Madera,,,,6051,798,13.19%
2021,Overall,Overall,Marin,,,,9224,1118,12.12%
2021,Overall,Overall,Mariposa,,,,952,114,11.97%
2021,Overall,Overall,Mendocino,,,,4894,638,13.04%
2021,Overall,Overall,Merced,,,,12140,1756,14.46%
2021,Overall,Overall,Modoc,,,,291,21,7.22%
2021,Overall,Overall,Mono,,,,261,21,8.05%
2021,Overall,Overall,Monterey,,,,17889,2326,13.00%
2021,Overall,Overall,Napa,,,,5482,754,13.75%
2021,Overall,Overall,Nevada,,,,5172,672,12.99%
2021,Overall,Overall,Orange,,,,109967,14435,13.13%
2021,Overall,Overall,Placer,,,,19165,2536,13.23%
2021,Overall,Overall,Plumas,,,,704,93,13.21%
2021,Overall,Overall,Riverside,,,,103826,14123,13.60%
2021,Overall,Overall,Sacramento,,,,73454,11320,15.41%
2021,Overall,Overall,San Benito,,,,2406,360,14.96%
2021,Overall,Overall,San Bernardino,,,,91284,12642,13.85%
2021,Overall,Overall,San Diego,,,,146135,20537,14.05%
2021,Overall,Overall,San Francisco,,,,32914,5122,15.56%
2021,Overall,Overall,San Joaquin,,,,33393,4971,14.89%
2021,Overall,Overall,San Luis Obispo,,,,11090,1334,12.03%
2021,Overall,Overall,San Mateo,,,,22904,2982,13.02%
2021,Overall,Overall,Santa Barbara,,,,17936,2250,12.54%
2021,Overall,Overall,Santa Clara,,,,58931,8721,14.80%
2021,Overall,Overall,Santa Cruz,,,,9931,1262,12.71%
2021,Overall,Overall,Shasta,,,,12325,1512,12.27%
2021,Overall,Overall,Sierra,,,,98,12,12.24%
2021,Overall,Overall,Siskiyou,,,,1771,178,10.05%
2021,Overall,Overall,Solano,,,,18007,2555,14.19%
2021,Overall,Overall,Sonoma,,,,20610,2844,13.80%
2021,Overall,Overall,Stanislaus,,,,29264,4218,14.41%
2021,Overall,Overall,Sutter,,,,5702,924,16.20%
2021,Overall,Overall,Tehama,,,,3517,489,13.90%
2021,Overall,Overall,Trinity,,,,684,82,11.99%
2021,Overall,Overall,Tulare,,,,19448,2560,13.16%
2021,Overall,Overall,Tuolumne,,,,3231,442,13.68%
2021,Overall,Overall,Ventura,,,,35387,4875,13.78%
2021,Overall,Overall,Yolo,,,,7134,1039,14.56%
2021,Overall,Overall,Yuba,,,,4772,720,15.09%
2022,Overall,Overall,State,,,,1644087,238468,14.50%
2022,Age,18 to 44 years,State,,,,254428,31148,12.24%
2022,Age,45 to 64 years,State,,,,480923,71658,14.90%
2022,Age,65 years and above,State,,,,908736,135662,14.93%
2022,Expected Payer,Medi-Cal,State,,,,357068,54846,15.36%
2022,Expected Payer,MediCare,State,,,,916730,143186,15.62%
2022,Expected Payer,Other,State,,,,42026,4670,11.11%
2022,Expected Payer,Private,State,,,,311827,34309,11.00%
2022,Expected Payer,Self-Pay,State,,,,16436,1457,8.86%
2022,Race-Ethnicity,African-American,State,,,,156634,27771,17.73%
2022,Race-Ethnicity,Asian/Pacific Islander,State,,,,144674,20209,13.97%
2022,Race-Ethnicity,Hispanic,State,,,,438706,63024,14.37%
2022,Race-Ethnicity,Multiracial,State,,,,18278,3183,17.41%
2022,Race-Ethnicity,Native American,State,,,,5510,883,16.03%
2022,Race-Ethnicity,Other/Unknown,State,,,,74568,9696,13.00%
2022,Race-Ethnicity,White,State,,,,805717,113702,14.11%
2022,Sex,Female,State,,,,816382,112571,13.79%
2022,Sex,Male,State,,,,827705,125897,15.21%
2022,Overall,Overall,Alameda,,,,56732,9088,16.02%
2022,Overall,Overall,Alpine,,,,10,4,40.00%
2022,Overall,Overall,Amador,,,,2472,323,13.07%
2022,Overall,Overall,Butte,,,,17966,3214,17.89%
2022,Overall,Overall,Calaveras,,,,2524,386,15.29%
2022,Overall,Overall,Colusa,,,,903,104,11.52%
2022,Overall,Overall,Contra Costa,,,,46208,6982,15.11%
2022,Overall,Overall,Del Norte,,,,1341,151,11.26%
2022,Overall,Overall,El Dorado,,,,8987,1237,13.76%
2022,Overall,Overall,Fresno,,,,47111,7159,15.20%
2022,Overall,Overall,Glenn,,,,1757,252,14.34%
2022,Overall,Overall,Humboldt,,,,6159,737,11.97%
2022,Overall,Overall,Imperial,,,,6673,908,13.61%
2022,Overall,Overall,Inyo,,,,545,53,9.72%
2022,Overall,Overall,Kern,,,,34947,4643,13.29%
2022,Overall,Overall,Kings,,,,5429,759,13.98%
2022,Overall,Overall,Lake,,,,3966,601,15.15%
2022,Overall,Overall,Lassen,,,,579,50,8.64%
2022,Overall,Overall,Los Angeles,,,,393647,59193,15.04%
2022,Overall,Overall,Madera,,,,6058,856,14.13%
2022,Overall,Overall,Marin,,,,9375,1201,12.81%
2022,Overall,Overall,Mariposa,,,,944,137,14.51%
2022,Overall,Overall,Mendocino,,,,4607,598,12.98%
2022,Overall,Overall,Merced,,,,11712,1709,14.59%
2022,Overall,Overall,Modoc,,,,307,38,12.38%
2022,Overall,Overall,Mono,,,,229,23,10.04%
2022,Overall,Overall,Monterey,,,,18704,2429,12.99%
2022,Overall,Overall,Napa,,,,5108,688,13.47%
2022,Overall,Overall,Nevada,,,,4818,673,13.97%
2022,Overall,Overall,Orange,,,,108666,14826,13.64%
2022,Overall,Overall,Placer,,,,18518,2309,12.47%
2022,Overall,Overall,Plumas,,,,634,94,14.83%
2022,Overall,Overall,Riverside,,,,103546,14693,14.19%
2022,Overall,Overall,Sacramento,,,,70577,10399,14.73%
2022,Overall,Overall,San Benito,,,,2514,368,14.64%
2022,Overall,Overall,San Bernardino,,,,91005,13303,14.62%
2022,Overall,Overall,San Diego,,,,144735,20302,14.03%
2022,Overall,Overall,San Francisco,,,,31810,4910,15.44%
2022,Overall,Overall,San Joaquin,,,,32288,4998,15.48%
2022,Overall,Overall,San Luis Obispo,,,,11343,1419,12.51%
2022,Overall,Overall,San Mateo,,,,22807,3049,13.37%
2022,Overall,Overall,Santa Barbara,,,,17333,2136,12.32%
2022,Overall,Overall,Santa Clara,,,,58551,8629,14.74%
2022,Overall,Overall,Santa Cruz,,,,9591,1216,12.68%
2022,Overall,Overall,Shasta,,,,12200,1529,12.53%
2022,Overall,Overall,Sierra,,,,73,10,13.70%
2022,Overall,Overall,Siskiyou,,,,1667,195,11.70%
2022,Overall,Overall,Solano,,,,17339,2481,14.31%
2022,Overall,Overall,Sonoma,,,,21315,3062,14.37%
2022,Overall,Overall,Stanislaus,,,,27600,3821,13.84%
2022,Overall,Overall,Sutter,,,,4755,691,14.53%
2022,Overall,Overall,Tehama,,,,3291,441,13.40%
2022,Overall,Overall,Trinity,,,,675,91,13.48%
2022,Overall,Overall,Tulare,,,,18119,2204,12.16%
2022,Overall,Overall,Tuolumne,,,,3236,472,14.59%
2022,Overall,Overall,Ventura,,,,34253,4771,13.93%
2022,Overall,Overall,Yolo,,,,7045,1005,14.27%
2022,Overall,Overall,Yuba,,,,4237,631,14.89%
2023,Overall,Overall,State,,,,1697727,253967,14.96% 
2023,Age,18 to 44 years,State,,,,256769,32576,12.69% 
2023,Age,45 to 64 years,State,,,,483957,74549,15.40% 
2023,Age,65 years and above,State,,,,957001,146842,15.34% 
2023,Sex,Female,State,,,,842642,120100,14.25% 
2023,Sex,Male,State,,,,855085,133867,15.66% 
2023,Race-Ethnicity,African-American,State,,,,158576,28695,18.10% 
2023,Race-Ethnicity,Asian/Pacific Islander,State,,,,156928,23294,14.84% 
2023,Race-Ethnicity,Hispanic,State,,,,453645,66194,14.59% 
2023,Race-Ethnicity,Multiracial,State,,,,18189,3094,17.01% 
2023,Race-Ethnicity,Native American,State,,,,5839,936,16.03% 
2023,Race-Ethnicity,Other/Unknown,State,,,,74463,9887,13.28% 
